transect_id,group_id,TransOrder,azimuth_deg,shoreline_count,shoreline_change_envelope_m,net_shoreline_movement_m,endpoint_rate_myr,endpoint_rate_unc_myr,linear_regression_rate_myr,linear_regression_r2,linear_regression_ci95_myr,weighted_linear_regression_rate_myr,weighted_regression_r2,weighted_regression_ci95_myr
487,0,487,127.04,18,622.81,573.34,13.98,0.03,4.62,0.17,5.46,4.62,0.17,5.46
488,0,488,125.93,18,47.53,-27.57,-0.67,0.03,-1.0,0.69,0.35,-1.0,0.69,0.35
489,0,489,124.66,18,68.57,-49.06,-1.2,0.03,-1.06,0.48,0.59,-1.06,0.48,0.59
490,0,490,123.39,18,84.36,-65.37,-1.59,0.03,-1.42,0.71,0.47,-1.42,0.71,0.47
491,0,491,121.96,18,68.57,-49.72,-1.21,0.03,-1.16,0.59,0.52,-1.16,0.59,0.52
492,0,492,120.13,18,59.02,-40.76,-0.99,0.03,-0.98,0.6,0.43,-0.98,0.6,0.43
493,0,493,118.98,18,48.54,-28.14,-0.69,0.03,-0.66,0.39,0.43,-0.66,0.39,0.43
494,0,494,117.7,18,56.69,-42.84,-1.04,0.03,-0.64,0.24,0.61,-0.64,0.24,0.61
495,0,495,116.28,18,78.76,-51.63,-1.26,0.03,-1.02,0.39,0.68,-1.02,0.39,0.68
496,0,496,114.16,18,146.49,-10.81,-0.26,0.03,-1.11,0.16,1.33,-1.11,0.16,1.33
497,0,497,111.94,18,81.66,-59.67,-1.45,0.03,-1.57,0.76,0.47,-1.57,0.76,0.47
498,0,498,109.75,18,77.32,-59.03,-1.44,0.03,-1.5,0.83,0.37,-1.5,0.83,0.37
499,0,499,107.98,18,77.49,-59.31,-1.45,0.03,-1.33,0.68,0.49,-1.33,0.68,0.49
500,0,500,106.21,18,74.82,-54.85,-1.34,0.03,-1.27,0.71,0.43,-1.27,0.71,0.43
501,0,501,104.54,18,73.85,-57.74,-1.41,0.03,-1.44,0.65,0.56,-1.44,0.65,0.56
502,0,502,105.36,18,93.03,-54.41,-1.33,0.03,-1.63,0.53,0.81,-1.63,0.53,0.81
503,0,503,106.77,18,87.14,-57.44,-1.4,0.03,-1.77,0.69,0.62,-1.77,0.69,0.62
504,0,504,107.27,18,88.11,-59.34,-1.45,0.03,-1.88,0.78,0.53,-1.88,0.78,0.53
505,0,505,106.97,18,93.3,-76.8,-1.87,0.03,-2.13,0.87,0.44,-2.13,0.87,0.44
506,0,506,106.32,18,86.97,-73.46,-1.79,0.03,-1.92,0.84,0.44,-1.92,0.84,0.44
507,0,507,104.53,18,85.38,-72.05,-1.76,0.03,-1.85,0.84,0.44,-1.85,0.84,0.44
508,0,508,102.03,18,86.59,-70.42,-1.72,0.03,-2.03,0.9,0.35,-2.03,0.9,0.35
509,0,509,100.72,18,91.39,-66.75,-1.63,0.03,-1.86,0.81,0.48,-1.86,0.81,0.48
510,0,510,100.46,18,89.32,-76.75,-1.87,0.03,-1.94,0.81,0.51,-1.94,0.81,0.51
511,0,511,99.88,18,91.91,-78.6,-1.92,0.03,-2.08,0.86,0.44,-2.08,0.86,0.44
512,0,512,98.86,18,107.77,-96.63,-2.36,0.03,-2.38,0.86,0.51,-2.38,0.86,0.51
513,0,513,97.23,18,111.4,-110.91,-2.7,0.03,-2.49,0.87,0.51,-2.49,0.87,0.51
514,0,514,95.78,18,116.66,-83.07,-2.03,0.03,-2.44,0.66,0.93,-2.44,0.66,0.93
515,0,515,94.97,18,136.97,-80.57,-1.96,0.03,-2.47,0.53,1.23,-2.47,0.53,1.23
516,0,516,94.35,18,240.76,-96.87,-2.36,0.03,-2.35,0.27,2.06,-2.35,0.27,2.06
517,0,517,93.73,18,87.83,-64.85,-1.58,0.03,-1.7,0.73,0.55,-1.7,0.73,0.55
